# TRAINING DATA — SYNTHETIC
accuracy,recent_accuracy,attempt_count,failure_count,avg_response_time,difficulty_adjusted_accuracy,recent_trend,prerequisite_performance,knowledge_gap
0.252,0.332,2,2,62.2,0.195,0.08,0.245,1
0.735,0.746,3,1,23.8,0.737,0.011,0.7,0
0.827,0.964,3,1,21.5,0.895,0.137,0.821,0
0.157,0.225,5,5,92.2,0.128,0.068,0.55,1
0.843,0.937,5,0,37.9,0.886,0.094,0.811,0
0.835,0.958,3,0,39.0,0.89,0.123,0.793,0
0.178,0.163,5,4,97.0,0.155,-0.015,0.454,1
0.939,1.0,5,0,34.3,0.947,0.061,0.984,0
0.927,1.0,5,0,37.5,0.974,0.073,0.657,0
0.86,1.0,3,0,22.4,0.921,0.14,0.961,0
0.942,1.0,4,0,29.7,1.0,0.058,0.769,0
0.011,0.0,5,4,60.9,0.01,-0.011,0.371,1
0.082,0.124,3,2,116.9,0.069,0.042,0.129,1
0.754,0.847,3,1,18.0,0.765,0.093,0.963,0
0.424,0.499,2,1,70.6,0.347,0.075,0.218,1
0.851,0.991,3,0,24.6,0.898,0.14,0.673,0
0.285,0.363,2,2,91.0,0.233,0.078,0.151,1
0.895,0.87,5,1,28.4,0.971,-0.025,0.825,0
0.743,0.801,2,0,31.1,0.774,0.058,0.969,0
0.7,0.743,5,1,34.6,0.712,0.043,0.671,0
0.782,0.782,4,1,40.3,0.799,0.0,0.944,0
0.073,0.057,2,2,60.8,0.061,-0.016,0.515,1
1.0,1.0,2,1,41.5,1.0,0.0,0.872,0
0.912,0.917,3,1,21.3,0.999,0.005,0.765,0
0.74,0.874,5,1,15.1,0.741,0.134,0.711,0
0.909,0.957,4,0,38.6,0.968,0.048,0.677,0
0.374,0.392,2,2,118.2,0.29,0.018,0.401,1
0.378,0.431,2,1,85.1,0.335,0.053,0.322,1
0.009,0.0,4,2,60.8,0.007,-0.009,0.252,1
0.77,0.819,3,0,23.4,0.84,0.049,0.897,0
0.088,0.143,5,2,111.5,0.072,0.055,0.347,1
0.898,0.961,5,0,17.0,0.91,0.063,0.673,0
0.256,0.163,6,5,67.5,0.214,-0.093,0.596,1
0.86,0.861,5,1,15.1,0.897,0.001,0.886,0
0.956,0.971,4,1,18.7,1.0,0.015,0.823,0
0.713,0.807,1,0,42.6,0.751,0.094,0.761,0
0.151,0.221,2,1,118.6,0.118,0.07,0.137,1
0.074,0.002,2,1,86.2,0.064,-0.072,0.396,1
0.8,0.8,1,0,22.2,0.827,0.0,0.669,0
0.357,0.443,6,6,104.7,0.295,0.086,0.389,1
0.027,0.0,4,4,59.2,0.02,-0.027,0.56,1
0.79,0.865,1,0,35.3,0.834,0.075,0.753,0
0.043,0.081,3,3,106.2,0.035,0.038,0.327,1
0.828,0.902,1,0,34.5,0.884,0.074,0.659,0
0.876,0.848,1,0,32.8,0.95,-0.028,0.967,0
0.229,0.168,5,5,67.1,0.167,-0.061,0.122,1
0.263,0.241,4,3,92.9,0.213,-0.022,0.173,1
0.881,0.889,1,0,16.7,0.926,0.008,0.942,0
0.827,0.816,2,0,38.6,0.855,-0.011,0.884,0
0.995,1.0,3,1,33.5,1.0,0.005,0.707,0
0.937,0.895,2,0,34.2,1.0,-0.042,0.813,0
0.216,0.258,4,4,79.4,0.168,0.042,0.513,1
0.004,0.0,6,3,64.3,0.003,-0.004,0.416,1
0.808,0.953,2,0,23.5,0.826,0.145,0.742,0
0.381,0.292,3,1,66.4,0.287,-0.089,0.151,1
0.741,0.822,1,0,43.1,0.764,0.081,0.734,0
0.898,1.0,5,1,41.4,0.904,0.102,0.701,0
0.938,0.926,4,1,24.5,0.978,-0.012,0.873,0
0.929,0.996,5,1,38.7,0.959,0.067,0.669,0
0.962,1.0,5,1,21.3,0.97,0.038,0.815,0
0.719,0.771,5,1,30.0,0.752,0.052,0.763,0
0.313,0.342,5,5,72.4,0.244,0.029,0.561,1
0.711,0.705,2,1,40.9,0.739,-0.006,0.757,0
0.871,1.0,3,1,31.5,0.883,0.129,0.679,0
0.805,0.872,4,1,27.8,0.843,0.067,0.793,0
0.795,0.821,2,1,22.0,0.846,0.026,0.776,0
0.379,0.357,2,2,115.2,0.273,-0.022,0.136,1
0.09,0.0,4,3,74.7,0.078,-0.09,0.442,1
0.318,0.417,6,5,55.6,0.242,0.099,0.511,1
0.821,0.852,5,0,29.2,0.863,0.031,0.916,0
0.179,0.086,3,2,70.2,0.146,-0.093,0.376,1
0.944,0.962,1,0,40.4,0.984,0.018,0.98,0
0.832,0.953,1,0,19.2,0.905,0.121,0.757,0
0.85,0.932,3,1,21.8,0.886,0.082,0.913,0
0.907,0.917,5,0,32.0,0.91,0.01,0.699,0
0.998,1.0,5,1,44.4,1.0,0.002,0.787,0
0.757,0.729,5,1,34.2,0.78,-0.028,0.71,0
0.753,0.868,5,1,15.8,0.768,0.115,0.969,0
0.093,0.016,6,3,84.6,0.072,-0.077,0.106,1
0.409,0.357,2,1,89.9,0.325,-0.052,0.134,1
0.96,0.936,2,1,28.0,1.0,-0.024,0.816,0
0.982,1.0,5,1,23.3,0.983,0.018,0.7,0
0.18,0.232,6,5,114.2,0.158,0.052,0.33,1
0.921,0.929,4,1,36.0,0.987,0.008,0.754,0
0.943,0.928,2,0,42.0,1.0,-0.015,0.81,0
0.755,0.819,4,0,22.2,0.821,0.064,0.746,0
0.788,0.921,2,1,27.3,0.848,0.133,0.692,0
0.34,0.316,4,3,84.3,0.255,-0.024,0.353,1
0.722,0.811,4,1,25.3,0.751,0.089,0.718,0
0.113,0.14,3,2,98.6,0.09,0.027,0.331,1
0.296,0.324,5,3,85.6,0.224,0.028,0.181,1
0.882,0.867,1,0,20.1,0.941,-0.015,0.654,0
0.198,0.092,2,1,83.7,0.14,-0.106,0.417,1
0.899,0.981,1,0,35.7,0.939,0.082,0.859,0
0.17,0.07,3,2,114.1,0.126,-0.1,0.108,1
0.007,0.062,2,1,117.3,0.005,0.055,0.518,1
0.917,0.876,5,0,39.5,0.947,-0.041,0.869,0
0.98,1.0,4,0,22.0,0.99,0.02,0.763,0
0.294,0.147,3,2,69.3,0.244,-0.147,0.239,1
0.713,0.84,4,1,38.0,0.749,0.127,0.997,0
0.937,1.0,5,0,22.6,0.946,0.063,0.764,0
0.817,0.952,2,1,20.3,0.879,0.135,0.891,0
0.9,0.864,1,0,26.5,0.958,-0.036,0.731,0
0.997,0.994,5,0,24.3,1.0,-0.003,0.915,0
0.718,0.743,3,0,19.6,0.733,0.025,0.663,0
0.879,1.0,3,0,23.3,0.936,0.121,0.916,0
0.993,1.0,3,0,21.9,1.0,0.007,0.77,0
0.024,0.103,3,3,100.3,0.018,0.079,0.536,1
0.755,0.831,1,0,17.1,0.77,0.076,0.872,0
0.092,0.0,6,4,70.4,0.066,-0.092,0.462,1
0.325,0.236,3,3,71.2,0.246,-0.089,0.324,1
0.782,0.888,1,0,26.9,0.795,0.106,0.804,0
0.92,1.0,4,0,37.9,0.959,0.08,0.679,0
0.79,0.847,5,0,22.7,0.827,0.057,0.809,0
0.273,0.141,3,3,85.5,0.2,-0.132,0.195,1
0.225,0.256,5,5,115.2,0.2,0.031,0.585,1
0.22,0.23,6,3,81.6,0.156,0.01,0.561,1
0.255,0.154,5,4,105.1,0.217,-0.101,0.274,1
0.89,0.914,1,0,42.8,0.955,0.024,0.735,0
0.366,0.374,2,1,72.0,0.29,0.008,0.441,1
0.271,0.359,3,1,62.6,0.195,0.088,0.456,1
0.318,0.412,2,1,111.9,0.233,0.094,0.313,1
0.85,0.907,4,1,37.0,0.914,0.057,0.974,0
0.733,0.798,3,0,23.1,0.748,0.065,0.912,0
0.702,0.686,4,0,17.9,0.756,-0.016,0.796,0
0.787,0.823,2,1,20.6,0.798,0.036,0.82,0
0.733,0.796,2,0,21.0,0.788,0.063,0.933,0
0.442,0.51,5,2,111.4,0.324,0.068,0.247,1
0.125,0.061,6,4,86.1,0.104,-0.064,0.15,1
0.338,0.19,6,3,61.3,0.272,-0.148,0.104,1
0.996,1.0,4,1,37.7,1.0,0.004,0.768,0
0.803,0.816,2,1,35.0,0.833,0.013,0.67,0
0.149,0.024,5,5,102.1,0.131,-0.125,0.169,1
0.961,0.967,2,1,28.6,1.0,0.006,0.954,0
0.898,0.849,3,0,34.0,0.976,-0.049,0.989,0
0.903,0.9,4,1,37.2,0.975,-0.003,0.772,0
0.982,1.0,1,0,23.8,1.0,0.018,0.7,0
0.872,0.993,5,0,18.8,0.941,0.121,0.755,0
0.865,0.99,2,1,43.7,0.907,0.125,0.839,0
0.077,0.163,2,1,83.3,0.065,0.086,0.18,1
0.971,1.0,2,1,35.0,1.0,0.029,0.885,0
0.977,1.0,4,0,38.9,1.0,0.023,0.728,0
0.977,0.94,3,1,42.3,1.0,-0.037,0.904,0
0.936,1.0,4,0,21.7,0.947,0.064,0.681,0
0.333,0.417,2,2,63.3,0.254,0.084,0.29,1
0.793,0.861,2,1,44.4,0.818,0.068,0.778,0
0.939,0.993,5,0,18.2,0.94,0.054,0.948,0
0.367,0.291,3,2,99.2,0.268,-0.076,0.242,1
0.955,1.0,1,0,24.3,1.0,0.045,0.693,0
0.912,0.958,2,1,23.7,1.0,0.046,0.671,0
0.746,0.839,2,0,42.7,0.804,0.093,0.95,0
0.79,0.903,2,0,31.4,0.817,0.113,0.887,0
0.927,0.955,5,1,23.5,1.0,0.028,0.895,0
0.729,0.744,5,0,40.5,0.781,0.015,0.81,0
0.062,0.086,4,2,68.6,0.053,0.024,0.198,1
0.809,0.93,1,0,26.3,0.889,0.121,0.888,0
0.025,0.0,5,3,116.4,0.018,-0.025,0.358,1
0.195,0.082,5,3,57.2,0.146,-0.113,0.344,1
0.986,1.0,4,0,38.3,1.0,0.014,0.878,0
0.294,0.236,2,1,60.4,0.235,-0.058,0.434,1
0.707,0.772,5,1,23.2,0.76,0.065,0.928,0
0.218,0.229,5,4,92.1,0.157,0.011,0.132,1
0.939,0.926,1,0,31.7,0.989,-0.013,0.934,0
0.856,0.923,1,0,44.0,0.933,0.067,0.713,0
0.754,0.815,3,0,16.2,0.797,0.061,0.878,0
0.116,0.154,2,1,87.9,0.09,0.038,0.372,1
0.984,0.934,3,0,43.4,1.0,-0.05,0.924,0
0.833,0.898,3,1,33.2,0.876,0.065,0.891,0
0.713,0.67,2,1,40.7,0.728,-0.043,0.697,0
0.878,0.883,5,1,17.2,0.9,0.005,0.784,0
0.82,0.787,3,1,43.2,0.832,-0.033,0.721,0
0.781,0.858,2,1,31.9,0.832,0.077,0.829,0
0.37,0.299,5,5,56.7,0.304,-0.071,0.139,1
0.049,0.036,2,2,96.6,0.038,-0.013,0.267,1
0.391,0.297,2,1,79.5,0.349,-0.094,0.289,1
0.417,0.311,4,4,108.4,0.333,-0.106,0.364,1
0.96,1.0,5,0,41.9,0.976,0.04,0.981,0
0.155,0.19,6,6,86.0,0.112,0.035,0.105,1
0.747,0.722,4,1,16.6,0.801,-0.025,0.991,0
0.775,0.847,4,0,28.2,0.802,0.072,0.814,0
0.429,0.409,3,2,96.3,0.308,-0.02,0.253,1
0.954,1.0,1,0,43.3,0.97,0.046,0.67,0
0.866,0.915,1,0,35.3,0.947,0.049,0.698,0
0.906,0.991,5,0,27.2,0.962,0.085,0.969,0
0.914,1.0,3,0,44.8,0.974,0.086,0.972,0
0.983,1.0,1,0,43.9,1.0,0.017,0.959,0
0.768,0.733,2,1,43.6,0.8,-0.035,0.783,0
0.051,0.13,3,3,110.3,0.044,0.079,0.245,1
0.779,0.729,5,1,21.5,0.803,-0.05,0.977,0
0.948,0.905,4,1,16.7,0.949,-0.043,0.811,0
0.048,0.0,3,2,78.0,0.035,-0.048,0.346,1
0.231,0.119,2,2,55.4,0.197,-0.112,0.225,1
0.812,0.835,2,1,18.3,0.848,0.023,0.944,0
0.159,0.117,4,4,67.9,0.117,-0.042,0.12,1
0.335,0.41,3,3,67.9,0.267,0.075,0.433,1
0.189,0.177,3,2,103.8,0.162,-0.012,0.3,1
0.923,1.0,2,0,43.7,0.996,0.077,0.694,0
0.006,0.027,2,2,82.9,0.005,0.021,0.104,1
0.785,0.752,4,0,33.5,0.842,-0.033,0.715,0
0.052,0.0,3,3,108.3,0.038,-0.052,0.453,1
0.91,0.96,2,0,44.8,0.964,0.05,0.872,0
0.06,0.0,3,1,82.7,0.049,-0.06,0.145,1
0.183,0.11,3,1,76.9,0.146,-0.073,0.355,1
0.791,0.795,3,1,36.3,0.811,0.004,0.963,0
0.0,0.015,4,2,73.5,0.0,0.015,0.403,1
0.776,0.824,3,1,18.3,0.828,0.048,0.889,0
0.739,0.761,3,1,22.1,0.759,0.022,0.855,0
0.048,0.055,6,3,57.7,0.043,0.007,0.542,1
0.758,0.797,1,0,43.3,0.805,0.039,0.756,0
0.928,0.985,2,0,18.8,0.967,0.057,0.899,0
0.928,1.0,5,1,41.8,0.97,0.072,0.901,0
0.72,0.754,5,0,20.0,0.74,0.034,0.989,0
0.43,0.295,3,3,107.9,0.344,-0.135,0.366,1
0.722,0.76,5,1,31.9,0.75,0.038,0.863,0
0.002,0.0,6,3,112.1,0.002,-0.002,0.328,1
0.858,0.869,2,1,36.2,0.905,0.011,0.71,0
0.107,0.0,3,2,115.3,0.081,-0.107,0.495,1
0.775,0.89,5,0,15.0,0.802,0.115,0.862,0
0.037,0.063,6,5,101.9,0.029,0.026,0.406,1
0.026,0.08,4,2,102.5,0.02,0.054,0.228,1
0.296,0.363,6,3,102.0,0.248,0.067,0.573,1
0.282,0.283,3,2,69.3,0.213,0.001,0.391,1
0.926,0.907,2,1,26.1,1.0,-0.019,0.683,0
0.083,0.149,3,3,86.9,0.07,0.066,0.424,1
0.073,0.0,5,3,59.5,0.052,-0.073,0.223,1
0.991,0.961,5,0,36.8,1.0,-0.03,0.861,0
0.009,0.066,2,1,71.1,0.006,0.057,0.171,1
0.704,0.847,1,0,40.6,0.71,0.143,0.699,0
0.968,1.0,3,1,29.4,0.992,0.032,0.84,0
0.245,0.1,2,1,90.4,0.177,-0.145,0.543,1
0.7,0.695,2,1,26.6,0.725,-0.005,0.75,0
0.905,0.992,1,0,20.1,0.915,0.087,0.686,0
0.807,0.88,1,0,42.7,0.881,0.073,0.963,0
0.753,0.809,5,0,35.4,0.764,0.056,0.884,0
0.368,0.305,2,2,114.6,0.306,-0.063,0.566,1
0.913,0.878,1,0,38.3,0.926,-0.035,0.702,0
0.939,1.0,1,0,32.3,1.0,0.061,0.747,0
0.448,0.343,5,4,75.8,0.352,-0.105,0.447,1
0.938,0.955,2,1,27.6,0.985,0.017,0.837,0
0.946,0.973,5,1,30.8,1.0,0.027,0.934,0
0.039,0.0,3,1,78.6,0.031,-0.039,0.167,1
0.41,0.35,3,2,84.9,0.355,-0.06,0.376,1
0.826,0.818,2,0,37.4,0.836,-0.008,0.894,0
0.33,0.354,5,4,58.5,0.238,0.024,0.391,1
0.878,0.86,2,1,19.2,0.9,-0.018,0.654,0
0.825,0.928,4,0,37.4,0.883,0.103,0.755,0
0.801,0.907,1,0,18.3,0.806,0.106,0.875,0
0.752,0.734,4,1,35.4,0.818,-0.018,0.844,0
0.976,1.0,2,1,42.9,1.0,0.024,0.682,0
0.428,0.464,5,2,69.2,0.315,0.036,0.473,1
0.953,1.0,4,1,24.4,1.0,0.047,0.94,0
0.362,0.374,3,2,62.0,0.259,0.012,0.402,1
0.708,0.714,5,0,17.0,0.75,0.006,0.915,0
0.248,0.258,2,1,72.5,0.222,0.01,0.382,1
0.937,0.896,3,0,43.3,0.938,-0.041,0.775,0
0.179,0.078,5,4,118.3,0.15,-0.101,0.149,1
0.922,0.892,2,0,32.6,0.957,-0.03,0.855,0
0.787,0.767,4,0,41.6,0.794,-0.02,0.901,0
0.942,1.0,2,1,28.4,0.954,0.058,0.752,0
0.982,0.94,4,0,21.3,1.0,-0.042,0.676,0
0.283,0.257,2,1,104.8,0.216,-0.026,0.534,1
0.969,1.0,4,1,20.1,0.998,0.031,0.674,0
0.806,0.77,4,1,44.6,0.885,-0.036,0.917,0
0.977,1.0,5,1,16.2,1.0,0.023,0.79,0
0.975,0.951,3,1,26.2,1.0,-0.024,0.827,0
0.394,0.415,6,3,103.2,0.295,0.021,0.511,1
0.384,0.307,3,3,81.0,0.274,-0.077,0.294,1
0.728,0.771,5,1,18.3,0.741,0.043,0.688,0
0.819,0.856,4,1,16.9,0.847,0.037,0.862,0
0.334,0.213,5,2,90.4,0.297,-0.121,0.173,1
0.256,0.353,5,2,115.9,0.198,0.097,0.315,1
0.716,0.84,4,1,22.6,0.729,0.124,0.7,0
0.037,0.105,5,5,89.1,0.031,0.068,0.23,1
0.728,0.858,3,1,19.9,0.753,0.13,0.797,0
0.907,0.889,4,1,42.4,0.959,-0.018,0.938,0
0.968,0.958,5,0,24.7,1.0,-0.01,0.979,0
0.921,0.934,2,1,43.0,0.967,0.013,0.761,0
0.902,0.905,1,0,43.3,0.979,0.003,0.872,0
0.874,0.831,2,1,35.9,0.942,-0.043,0.86,0
0.094,0.0,6,3,79.1,0.073,-0.094,0.251,1
0.369,0.25,5,5,81.9,0.284,-0.119,0.514,1
0.992,1.0,2,1,27.9,1.0,0.008,0.858,0
0.814,0.933,4,1,36.1,0.89,0.119,0.967,0
0.039,0.098,2,1,95.1,0.031,0.059,0.348,1
0.978,0.948,4,0,35.0,1.0,-0.03,0.724,0
0.865,0.838,4,0,25.5,0.934,-0.027,0.812,0
0.893,1.0,4,0,43.2,0.963,0.107,0.828,0
0.296,0.223,5,3,55.3,0.261,-0.073,0.116,1
